country,year,Current_Account_Balance,Debt_Service_to_Exports,Financial_depth,GDP_per_Capita,Inflation_CPI,Regulatory_Quality,Terms_of_Trade,Treatment_Group,Criteria_1,Criteria_2
SYR,2008,0.897965594485587,3.43388786317649,,1423.59559425951,15.7453252219709,-1.13534939289093,90.8673209303,0,0,0
SYR,2009,-1.90259143615813,3.90289280408507,,1484.40523742854,2.92089711805367,-0.918233692646027,84.6506737251,0,0,0
SYR,2010,-0.598441929825769,3.14853680210342,,1526.36894402751,4.3974138315007,-0.855281352996826,88.1311229512,0,0,0
SYR,2011,,,,1542.71957174916,4.7531638888563,-0.952119052410126,93.5718162886,0,0,0
SYR,2012,,,,1142.29080150598,36.7022953364139,-1.53074514865875,94.3390405453,0,0,0
SYR,2013,,,,884.329813332104,40.0318378290723,-1.54563355445862,94.9736961881,0,0,0
SYR,2014,,,,847.659877206276,10.9271141804297,-1.68455278873444,94.6301168408,0,0,0
SYR,2015,,,,847.731631942565,38.4611429599733,-1.66471791267395,100.0,0,0,0
SYR,2016,,,,802.969498335502,47.7051615298923,-1.68493008613586,98.9198856957,0,0,0
SYR,2017,,,,795.883216970859,18.0752696281771,-1.85304284095764,99.557361661,0,0,0
SYR,2018,,,,792.413811698757,0.940983843906769,-1.75966858863831,96.0880710848,0,0,0
SYR,2019,,,,771.518695271305,13.4175653228571,-1.779421210289,98.3512366454,0,0,0
SYR,2020,,,,740.811397013438,,-1.89161384105682,96.0625949971,0,0,0
SYR,2021,,,,734.334236323426,,-1.64680981636047,87.6229945545,0,0,0
SYR,2022,,,,712.272278200037,,-1.82389974594116,,0,0,0
SYR,2023,,,,,,-1.81011295318604,,0,0,0
TCD,2000,,,,368.078261898703,3.82260088086307,-1.20869624614716,83.2905308848,1,1,0
TCD,2001,,,,397.356889219968,12.4312865279941,,71.0666798154,1,1,0
TCD,2002,,,,416.339854809106,5.19181895195446,-1.0260694026947,68.8387001592,1,1,0
TCD,2003,,,,458.923045624901,-1.75256941248655,-1.0497282743454,83.0668478257,1,1,0
TCD,2004,,,,586.537221681774,-5.35540028884816,-0.83215993642807,98.2060489828,1,1,0
TCD,2005,,,,661.008702427265,7.89036567462993,-1.20151317119598,128.1392555908,1,1,0
TCD,2006,,,,641.784341007243,8.03628897951332,-1.08030891418457,145.6728852588,1,1,0
TCD,2007,,,,640.337914179992,-8.9747396200927,-1.117924451828,146.4528731782,1,1,0
TCD,2008,,,,637.193939261993,10.2969758221254,-1.15250277519226,179.3627545928,1,1,0
TCD,2009,,,,640.760736157705,9.95242290748864,-1.07416117191315,123.0218447275,1,1,0
TCD,2010,,1.90767220626211,,702.835158960433,-2.07786574641866,-1.08066415786743,148.924645784,1,1,0
TCD,2011,,1.91116158712157,,679.01873437328,2.0292405367826,-1.03720164299011,176.6003309339,1,1,0
TCD,2012,,1.60235847136486,,713.813698623546,7.51662364663833,-1.06983387470245,179.882398468,1,1,0
TCD,2013,,3.09802277700977,,728.044325802741,0.222671564624642,-1.00592374801636,176.6808217369,1,1,0
TCD,2014,,15.3947079113367,,750.984908083218,1.68197313925661,-1.16216695308685,163.072642806,1,1,0
TCD,2015,,2.38361509835388,,747.588448455507,4.37712665065654,-1.22344315052032,100.0,1,1,0
TCD,2016,,6.81076052002988,,679.167834353956,-0.792440525236016,-1.18124747276306,86.7873305694,1,1,0
TCD,2017,,5.76694621730093,,637.440946195503,-1.53709962980849,-1.22570562362671,104.8858223751,1,1,0
TCD,2018,,5.68293597311804,,631.014596004206,4.27462198610545,-1.12444484233856,127.5481952494,1,1,0
TCD,2019,,3.42179355018422,,630.861050028594,-0.971939175419317,-1.12440085411072,116.2827929646,1,1,0
TCD,2020,,6.3206820409781,,601.325555951846,4.4641443723286,-1.12530958652496,80.2019132131,1,1,0
