country,year,Control_of_Corruption,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Regulatory_Quality,cbi_index,Current_Account_Balance,External_Debt_to_GNI,Debt_Service_to_Exports,GDP_Growth,GDP_per_Capita,Inflation_CPI,Terms_of_Trade,Treatment_Group_x,Criteria_1_x,Criteria_2_x,cpiapadm,cpiamacr,cpiafinq,cpiadebt,realIR,democracy_index,broad_money_to_gdp,Primary_fiscal_balance,CPIScore,EconomicFreedomIndex,Political_Stability,Contract_Enforcement_Score,Polity2_Score,Former_HIPC
ALB,2007,-0.706940054893494,-0.427722543478012,-0.661545991897583,0.113008469343185,0.0345503017306328,"0,71",-10.7781023817953,27.0298318019354,6.16952039106407,5.98325951855567,3044.89661682055,2.93268248162323,98.499218272,0,0,0,,,,,9.304741438063012,5.91,78.46587566595686,-0.535095416206564,,7.25,-0.203974649310112,,9.0,0
ALB,2008,-0.605212390422821,-0.367063492536545,-0.600079298019409,0.174939081072807,0.137666508555412,"0,71",-15.6285296892255,32.8810151678961,6.73437510304431,7.50004143020151,3298.47890843532,3.32087090389265,98.178779208,0,0,0,,,,,8.550524873891481,5.91,75.48053255554856,-2.67866396778914,,7.15,-0.0305009130388498,,9.0,0
ALB,2009,-0.545270919799805,-0.255941480398178,-0.49437016248703,0.141477331519127,0.241446003317833,"0,71",-15.3804877728582,38.853166748772,7.10165933338243,3.35428934987461,3432.1708719722,2.26692209450831,97.7525072692,0,0,0,,,,,10.00074741394243,5.885,76.18170946626385,-3.89718738911224,,7.21,-0.0451405122876167,,9.0,0
ALB,2010,-0.531616508960724,-0.279453217983246,-0.385760486125946,0.123838223516941,0.233281955122948,"0,71",-11.3658658518304,46.0423347588701,10.2759278074857,3.70693815255319,3577.11432498868,3.6271009151748,102.2687889865,0,0,0,,,,,7.971036596219237,5.86,79.07747782631319,0.288227775738753,,7.24,-0.191482901573181,,9.0,0
ALB,2011,-0.701794147491455,-0.202177077531815,-0.442926466464996,0.0623337626457214,0.283972561359406,"0,71",-12.9331014515688,50.2880728178401,11.8316386968479,2.54540614450104,3678.04770145146,3.42807130141503,101.8826175886,0,0,0,,,,,9.888462235553986,5.81,82.27973649571283,-0.36213384577656,,7.3,-0.282379418611526,,9.0,0
ALB,2012,-0.778729438781738,-0.26892501115799,-0.519839763641357,0.0220640376210213,0.240491986274719,"0,71",-10.2001762330966,60.3895494952424,14.2868851310685,1.4172427999078,3736.34007957648,2.03159268395296,103.3323295768,0,0,0,,,,,9.736112073467282,5.67,84.28877012569674,-0.327038119636151,33.0,7.43,-0.143631592392921,,9.0,0
ALB,2013,-0.751372694969177,-0.324457377195358,-0.518828868865967,0.0488644428551197,0.25416025519371,"0,71",-9.27418778932724,66.5334303235846,13.5215635194262,1.00201754071108,3780.69919254096,1.93762080205223,102.8552768129,0,0,0,,,,,9.510397491259225,5.67,85.10628841978797,-1.74842071343234,31.0,7.39,0.0919297859072685,,9.0,0
ALB,2014,-0.5865718126297,-0.0497708097100258,-0.311199098825455,0.143689781427383,0.279037684202194,"0,71",-10.7753990397848,63.7664595243345,17.5376945375891,1.77444885260394,3855.76074409659,1.62586504402604,101.1418985703,0,0,0,,,,,6.324557533334839,5.67,85.65080752953655,-2.29720444703177,33.0,7.56,0.485986232757568,,9.0,0
ALB,2015,-0.54514080286026,0.0275752544403076,-0.31968680024147,0.157135263085365,0.174237310886383,"0,71",-8.60488046763521,73.3124354680646,33.5289041026424,2.21872637517804,3952.80357364813,3.50120835492657,100.0,0,0,0,,,,,7.272492421639971,5.91,84.79216792499793,-1.36365552785507,36.0,7.64,0.341639041900635,,9.0,0
ALB,2016,-0.472373723983765,0.0290823616087437,-0.322631984949112,0.171097502112389,0.186607629060745,"0,71",-7.59082599857198,70.6502835755701,15.23524249807,3.31498068384137,4090.37272829183,-0.367317209784652,101.0767054695,0,0,0,,,,,7.413723259445375,5.91,85.80495884830955,0.65080718597351,39.0,7.68,0.337447881698608,,9.0,0
ALB,2017,-0.481386840343475,0.0985528454184532,-0.414191573858261,0.203885167837143,0.220610320568085,"0,71",-7.54422875202925,75.0961019961549,11.1428754430796,3.80259872019053,4249.8200493985,2.06059845920226,104.0747474235,0,0,0,,,,,4.70106853289222,5.98,81.70339458762037,0.0574870269025969,38.0,7.66,0.373770743608475,,9.0,0
ALB,2018,-0.546018898487091,0.0805245339870453,-0.414752036333084,0.188786596059799,0.256079822778702,"0,71",-6.60766413996776,62.8264355512297,20.6761124898272,4.01934561695576,4431.55559506989,2.02805963071135,104.1489992806,0,0,0,,,,,2.880524891572281,5.98,76.11478957939694,0.627815931939277,36.0,7.65,0.366779267787933,,9.0,0
ALB,2019,-0.564274072647095,-0.0623007006943226,-0.426317363977432,0.141965284943581,0.272065460681915,"0,71",-7.82064680790707,60.2870294294132,11.6000219465986,2.06256753999989,4542.26866282892,1.41109078954251,103.9745074856,0,0,0,,,,,5.222981817480798,5.89,77.02287793133522,0.212439429861194,35.0,7.69,0.11010505259037,51.2,,0
