country,year,Control_of_Corruption,External_Debt_to_GNI,GDP_Growth,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Treatment_Group,Criteria_1,Criteria_2
ARM,2005,-0.683349847793579,38.5750336386734,13.8999999991133,-0.142497807741165,-0.388776749372482,-0.591363310813904,0,0,0
ARM,2006,-0.669232606887817,31.9881885928206,13.1999999994661,-0.261502921581268,-0.544567346572876,-0.742222785949707,0,0,0
ARM,2007,-0.745891690254211,31.7603379636547,13.7000000015467,-0.381906569004059,-0.496518045663834,-0.759377896785736,0,0,0
ARM,2008,-0.712412357330322,29.2430682607578,6.90000000042959,-0.177952587604523,-0.337751358747482,-0.857629656791687,0,0,0
ARM,2009,-0.621459662914276,54.7919777524588,-14.1000000006998,-0.0268956422805786,-0.468710690736771,-0.876420259475708,0,0,0
ARM,2010,-0.695039570331573,64.8981549562732,2.2000000002151,-0.171523153781891,-0.48135831952095,-0.847521543502808,0,0,0
ARM,2011,-0.664559423923492,70.5642908723285,4.69999999867412,-0.11502830684185,-0.437706410884857,-0.690779805183411,0,0,0
ARM,2012,-0.588001489639282,69.1932584997682,7.20000000096486,-0.0323866233229637,-0.418281972408295,-0.570491433143616,0,0,0
ARM,2013,-0.53053343296051,73.5435614911053,3.3,0.0783172845840454,-0.340888947248459,-0.588099241256714,0,0,0
ARM,2014,-0.565446794033051,70.522973244206,3.60000000058993,-0.257329761981964,-0.417726755142212,-0.562132000923157,0,0,0
ARM,2015,-0.609746634960175,80.4154639528465,3.19999999896625,-0.331789612770081,-0.462551325559616,-0.536273837089539,0,0,0
ARM,2016,-0.659795224666595,91.3302217488821,0.199999999825991,-0.31255441904068,-0.160894498229027,-0.579092621803284,0,0,0
ARM,2017,-0.637015163898468,85.7142699282465,7.50000000164144,-0.251550018787384,-0.209393918514252,-0.560670435428619,0,0,0
ARM,2018,-0.409369438886642,84.732912100644,5.19999999965324,-0.170582666993141,-0.197214365005493,-0.130965158343315,0,0,0
ARM,2019,-0.227039858698845,86.0748926105104,7.59999999853918,-0.226045966148376,-0.177464514970779,0.0547882094979286,0,0,0
ARM,2020,-0.003474973840639,105.006642730875,-7.19999999920631,-0.304547429084778,-0.125831425189972,0.0473478920757771,0,0,0
ARM,2021,0.0486846454441547,104.151886769747,5.80000000065645,-0.282197445631027,-0.119838461279869,0.0541607961058617,0,0,0
ARM,2022,0.0279071740806103,83.8849419476276,12.5999999997766,-0.314792364835739,-0.169515803456306,0.0903258174657822,0,0,0
ARM,2023,0.0583996474742889,67.5888031767855,8.29999999959539,-0.184129968285561,-0.122017979621887,0.0767075568437576,0,0,0
AZE,2000,-1.29238271713257,30.6140155929779,11.0999991434346,-0.951395213603973,-1.14563620090485,-0.906228959560394,0,0,0
AZE,2001,,27.3204317935916,9.89999986533643,,,,0,0,0
AZE,2002,-1.1955019235611,28.1632318051662,9.43891626906561,-0.985208630561829,-0.964197218418121,-0.981288135051727,0,0,0
AZE,2003,-1.04623198509216,27.8913661531088,10.2082994004776,-0.933228969573975,-0.884644746780396,-1.04470455646515,0,0,0
AZE,2004,-1.1808317899704,26.8473875403857,9.25380179728907,-0.933772504329681,-0.900518476963043,-1.05670249462128,0,0,0
AZE,2005,-1.05252146720886,19.3448674587574,27.9615381082131,-0.741808712482452,-0.792612433433533,-1.12416350841522,0,0,0
AZE,2006,-1.09591245651245,15.2700449073449,34.5,-0.671189248561859,-0.885929226875305,-1.27916121482849,0,0,0
AZE,2007,-1.12907373905182,13.9068031577395,24.9999998515683,-0.802225649356842,-0.880020380020142,-1.23339664936066,0,0,0
AZE,2008,-1.15665423870087,10.3182912677324,10.7589780604684,-0.785877287387848,-0.836160480976105,-1.32513201236725,0,0,0
AZE,2009,-1.19408190250397,11.1638501179119,9.29636374447091,-0.66451507806778,-0.879176020622253,-1.25976669788361,0,0,0
AZE,2010,-1.24537324905396,14.6468541228462,5.04894451349574,-0.813017129898071,-0.891145050525665,-1.30459702014923,0,0,0
AZE,2011,-1.1953147649765,12.5683717083814,0.10000013782458,-0.772403717041016,-0.938726484775543,-1.30184757709503,0,0,0
AZE,2012,-1.14269411563873,16.5157223576325,2.1652394748416,-0.790763437747955,-0.879532694816589,-1.29948163032532,0,0,0
AZE,2013,-0.970754623413086,15.0367742964424,5.80980084268208,-0.452178388834,-0.756260693073273,-1.40288960933685,0,0,0
AZE,2014,-1.02282762527466,16.5803142224794,2.75050681535518,-0.313590198755264,-0.697012007236481,-1.47932517528534,0,0,0
AZE,2015,-0.952573180198669,25.9596905994134,1.09397591627469,-0.258792459964752,-0.716544568538666,-1.55243062973022,0,0,0
